0.0423	0.0186	0.0835	0.0604	0.0469	0.0486	0.0335	0.0652
0.0290	0.0433	0.0367	0.1025	0.0374	0.0421	0.0457	0.0623
0.0404	0.0471	0.0545	0.0531	0.0570	0.0570	0.0506	0.0392
0.0680	0.0376	0.0249	0.0445	0.0341	0.0888	0.0659	0.0353
0.0696	0.0490	0.0410	0.0442	0.0402	0.0621	0.0348	0.0580
0.0437	0.0576	0.0454	0.0320	0.0747	0.0517	0.0524	0.0414
0.0633	0.0615	0.0328	0.0303	0.0303	0.0526	0.0564	0.0718
0.0423	0.0657	0.0331	0.0501	0.0164	0.1079	0.0630	0.0205
0.0475	0.0505	0.0437	0.0486	0.0553	0.0321	0.0624	0.0588
0.0593	0.0468	0.0210	0.0474	0.0606	0.0486	0.0559	0.0595
0.0207	0.0544	0.0385	0.0478	0.0632	0.0546	0.0640	0.0558
0.0526	0.0464	0.0320	0.0536	0.0267	0.0522	0.0467	0.0888
0.0190	0.0364	0.0595	0.0625	0.0269	0.0766	0.0554	0.0626
0.0516	0.0378	0.0447	0.0460	0.0285	0.0641	0.0432	0.0831
0.0546	0.0529	0.0253	0.0746	0.0278	0.0539	0.0562	0.0536
0.0553	0.0458	0.0433	0.0563	0.0468	0.0531	0.0614	0.0370
0.0309	0.0489	0.0867	0.0215	0.0518	0.0523	0.0568	0.0501
0.0462	0.0340	0.0576	0.0351	0.0582	0.0677	0.0288	0.0714
0.0476	0.0440	0.0601	0.0322	0.0834	0.0585	0.0328	0.0403
0.0609	0.0451	0.0669	0.0523	0.0385	0.0567	0.0590	0.0195
0.0422	0.0483	0.0612	0.0438	0.0253	0.0602	0.0621	0.0559
0.0418	0.0227	0.0466	0.0548	0.0193	0.0660	0.0537	0.0942
0.0900	0.0160	0.0560	0.0662	0.0316	0.0265	0.0361	0.0766
0.0147	0.0852	0.0284	0.0695	0.0424	0.0667	0.0659	0.0263
0.0385	0.0146	0.0361	0.0393	0.0941	0.0801	0.0796	0.0167
0.0298	0.1069	0.0277	0.1097	0.0526	0.0238	0.0207	0.0278
0.0524	0.0170	0.0219	0.0860	0.0597	0.0317	0.0496	0.0806
0.0414	0.0847	0.0347	0.0292	0.0428	0.0783	0.0300	0.0578
0.0446	0.0272	0.0483	0.0860	0.0451	0.0453	0.0643	0.0383
0.0576	0.0533	0.0769	0.0479	0.0296	0.0672	0.0263	0.0401
0.0535	0.0237	0.0454	0.0691	0.0473	0.0423	0.0457	0.0719
0.0356	0.0304	0.0316	0.0486	0.0622	0.0814	0.0342	0.0750
