   -7.5291	   -5.0805	  -10.1047	   -3.1759	   -3.4540	   -3.1433	   -3.7197	   -3.8955	   -1.0431	   -0.2052	   -2.3843	   -1.4135	   -0.7924	   -0.4437	   -0.5680	   -0.5876	   -1.2795	   -2.8431	   -0.5421	   -1.2641	   -1.2561	   -0.5893	   -1.7352	   -2.3675	   -4.0441	   -2.0525	   -3.3129	   -2.1585	    0.3725	    3.5594	    1.8610	    3.0873
  -11.2464	  -11.1148	   -7.3583	  -11.2404	  -11.9690	  -12.7919	  -12.2634	  -10.7905	  -12.2079	   -7.0021	  -12.7230	  -12.1272	   -6.7343	  -11.1158	   -9.2479	  -10.3770	  -15.9078	  -15.3549	  -16.5409	  -13.3495	  -16.6250	  -15.0687	  -10.0913	   -9.9303	  -13.2487	  -11.7393	  -13.6038	  -12.6856	   -8.1672	   -8.5350	  -10.4694	   -8.9633
  -10.9008	  -10.1773	  -11.1329	  -10.4155	  -12.9629	  -10.8614	   -8.4762	  -12.8372	  -12.7229	  -12.6286	  -12.3922	  -12.2522	  -11.0421	  -10.7533	   -7.7560	   -8.0103	  -11.2308	  -10.2691	  -10.8605	   -7.1240	   -8.8829	   -7.9397	  -10.2914	  -11.2700	  -11.8242	  -12.5659	  -12.5297	  -12.1899	  -13.8386	  -13.7483	  -13.6037	  -13.5293
   -5.6605	   -5.5315	   -8.3790	   -8.2672	  -12.9232	  -12.2778	  -11.4680	  -11.8357	   -9.6906	   -9.0247	   -9.6430	   -9.6932	   -8.0587	   -8.8485	   -9.3578	   -9.9594	  -12.9112	  -13.9508	  -14.1373	  -12.1639	   -6.3234	   -9.6668	   -6.5610	   -8.3281	   -8.2130	   -7.0608	   -8.4605	   -6.9050	  -11.7000	  -11.0843	  -11.3568	  -11.5650
   -5.9674	   -5.4830	   -9.3147	   -8.5438	  -11.2900	  -10.0667	   -9.6325	  -11.1772	   -8.6389	  -11.3202	   -9.0103	  -10.5657	  -15.2492	  -13.6219	  -14.6418	  -11.9730	   -6.8808	   -9.9313	   -9.6167	   -6.3796	   -8.3351	   -7.1204	   -8.5787	   -7.7562	  -12.3936	  -12.5834	  -10.9175	  -12.5606	   -7.9013	   -6.2578	   -8.4362	   -8.4731
   -9.7774	   -8.0270	   -9.8122	  -10.1282	  -10.0091	   -6.2978	   -8.7554	   -7.1033	   -6.6495	   -6.4469	   -6.1191	   -8.4282	  -13.1559	  -13.3179	  -13.2488	  -13.6582	   -8.4665	   -4.8783	   -6.1122	   -7.9793	   -7.2675	   -5.9866	   -7.7312	   -7.8303	   -7.0139	  -10.9333	  -11.4168	   -8.8857	  -11.7167	  -11.7713	  -11.8563	  -11.7162
   -9.5081	   -9.5694	   -5.5056	   -6.9053	   -9.5521	   -9.1568	   -6.0951	   -9.6397	  -11.2590	   -9.4805	  -11.0847	  -10.3682	  -12.9730	  -12.9777	  -12.4554	  -13.2028	  -11.8113	   -9.8588	  -10.4017	  -11.4772	   -7.7868	   -6.3064	   -8.4440	   -9.8830	   -5.2499	   -5.4724	   -4.9532	   -8.1447	   -5.7947	   -8.9324	  -10.5183	   -5.8317
  -13.5334	  -13.9813	  -14.4250	   -6.2722	  -11.2202	  -12.5572	   -7.9369	   -7.5485	  -10.1688	  -10.3740	  -10.2208	  -11.0154	  -11.2920	  -10.2649	  -11.0065	  -10.7918	  -11.0029	  -12.1995	  -11.1951	  -11.5906	   -9.2330	   -3.3305	   -5.1806	   -7.1870	   -8.9868	   -6.2433	   -8.2405	   -9.4479	  -11.2339	  -11.5435	  -10.3761	  -10.8558
   -7.3053	   -4.6038	   -7.6378	   -7.4025	   -8.8761	   -8.3327	   -8.7749	   -6.7128	   -3.7169	   -3.4250	   -5.3277	   -2.3609	   -7.0832	   -8.6636	   -7.1812	   -8.4673	   -6.8057	   -6.6108	   -5.4353	   -8.0632	  -11.8288	  -11.5018	  -11.9977	  -11.5907	   -4.9051	   -4.7995	   -3.8788	   -4.0409	   -5.9128	   -4.9366	   -5.2928	   -3.5228
   -4.1639	   -3.3316	   -3.0243	   -2.7976	   -3.9837	   -6.9755	   -7.3441	   -4.2388	  -11.0195	  -11.0168	  -11.4344	  -13.2022	   -4.4957	   -4.2324	   -5.8247	   -6.7562	   -6.2863	   -4.9458	   -6.5682	   -4.0961	   -4.2794	   -5.4105	   -5.4880	   -5.3756	   -9.3223	   -5.2441	   -9.7892	   -4.9406	   -4.6454	   -5.7364	   -7.4110	   -4.1390
   -7.2210	   -5.4703	   -4.5739	   -4.0116	   -8.0476	   -5.3442	   -4.4827	   -3.7142	  -10.4650	  -12.1165	  -10.1435	  -12.0118	   -4.6696	   -5.0331	   -7.2156	   -9.0463	   -7.5068	   -4.9311	   -1.6196	   -2.1878	   -6.4602	   -6.8566	   -7.0108	   -7.1028	   -4.4860	   -5.4969	   -4.7381	   -4.9923	   -5.2912	   -7.0649	   -8.2113	   -3.3185
