0.9965	0.9955	0.9868	0.9483	0.5784	0.8720	0.9377	0.8840
0.9573	1.0000	0.9395	0.8776	0.9922	0.9956	0.8466	0.5905
0.8807	0.7692	0.9933	0.9899	0.9991	0.7750	0.7920	1.0000
0.9995	1.0000	0.9998	0.9709	0.9994	0.9742	0.7447	0.5108
0.9964	0.9997	0.9653	0.6871	0.6944	0.9997	0.8567	1.0000
0.9982	1.0000	1.0000	1.0000	0.4785	0.8882	0.8407	0.9938
0.7597	0.9908	0.9838	0.9943	0.8777	0.6783	0.9344	0.9803
0.8626	0.9888	0.8618	0.7690	0.8123	0.9836	0.9387	0.9826
0.9191	0.9577	0.7457	0.7620	0.9989	1.0000	0.9877	0.8283
0.9181	0.9091	0.9120	0.8765	0.9630	0.8643	0.8665	0.8900
0.7439	0.9810	0.9660	0.8806	0.6325	0.9963	1.0000	0.9991
0.8700	0.9986	1.0000	0.9824	0.8424	0.8359	0.7089	0.9610
0.9997	0.8136	0.8640	0.6329	0.9718	0.9278	0.9970	0.9924
0.7375	0.8152	0.9420	0.9741	0.9027	0.9034	0.9287	0.9956
0.9821	1.0000	0.9548	1.0000	1.0000	0.9989	1.0000	0.2637
0.8483	0.9111	0.9495	0.9464	0.8828	0.9122	0.8212	0.9277
0.9746	0.8978	0.7857	0.9978	0.9411	0.9943	0.7900	0.8180
0.9900	0.9871	0.8041	0.9692	0.9849	0.9945	0.9547	0.5148
0.2953	0.9996	0.9568	0.9999	0.9998	0.9913	0.9827	0.9740
0.9866	0.9998	0.9954	0.9999	0.5929	0.6346	0.9990	0.9912
0.3380	0.9940	0.9781	0.9821	0.9855	0.9635	0.9694	0.9888
0.9818	0.9999	0.9999	0.2216	0.9999	1.0000	0.9964	0.9998
0.9893	1.0000	0.9840	0.9953	0.9983	1.0000	0.2447	0.9878
0.8121	0.9994	0.9994	0.9866	0.4868	0.9991	0.9188	0.9973
0.9902	0.9693	0.7764	0.9395	0.6015	0.9982	0.9661	0.9581
0.8668	0.9993	0.9165	0.9494	0.8541	0.7314	0.8819	1.0000
0.9992	0.9968	0.2879	0.9998	0.9994	0.9319	0.9992	0.9851
0.6737	0.8578	0.9981	1.0000	0.9997	0.9921	0.9929	0.6849
1.0000	0.9862	0.9991	0.9997	0.9999	1.0000	0.9756	0.2387
0.9899	0.9984	0.9981	0.9999	0.9880	0.9998	0.7598	0.4654
0.9970	0.9999	0.9952	0.4702	0.9565	0.9665	0.9986	0.8154
0.8580	0.9138	0.9992	0.8897	0.7809	0.8440	0.9178	0.9959
0.9562	0.9376	0.9815	0.9992	0.8205	0.8010	0.8945	0.8088
0.8635	0.9991	0.9953	0.9823	0.9866	0.9966	0.3763	0.9995
0.9503	0.9767	0.9705	0.8972	0.9954	0.7844	0.6249	1.0000
0.9799	0.6864	0.9882	0.8835	0.9138	0.9156	0.8869	0.9450
