    2.3228	   -1.3029	    1.3597	    3.2987	    0.3677	   -1.0424	   -1.3262	   -0.1028	    1.5187	    0.2224	   -0.1119	    0.1430	    0.7581	    1.6981	    1.7218	    4.8785	   -1.9890	   -1.7215	   -2.1768	   -1.7353	    0.8240	    0.7132	    1.9141	    0.4500	   -0.8494	    8.4757	    3.7915	    8.1658	    0.1749	    0.0346	   -1.0030	   -0.5295
    3.2835	    3.8653	    3.8183	    4.3352	    1.4622	    2.2631	    1.7191	    1.6124	    3.2987	    5.4504	    9.4559	    6.1485	    3.7264	    2.8834	    1.6700	    2.1927	   10.6263	    7.8740	    4.7026	    6.0021	    5.0036	    3.4659	    6.3945	    6.2194	    4.8036	    4.1883	   11.6720	   10.9161	   25.0830	   10.9625	    6.5415	   20.1165
    4.8431	    4.3529	    7.0527	    5.1607	    4.4770	    5.5460	    4.2458	    5.5572	    5.6345	    8.8997	    6.7793	    4.4950	    3.8488	    2.5868	    3.3699	    2.5821	    8.8661	    9.8438	    4.1420	    6.8563	    4.8915	    5.6048	    4.3801	    4.7562	    3.5000	    3.5417	    3.4695	    3.6706	   18.5125	    8.5067	    7.3318	   20.2593
    7.9974	    7.5215	    7.4165	    7.0870	   11.7692	   25.9417	   22.4958	   20.0425	   20.3768	    9.4421	   17.5838	   12.2862	   28.3132	   16.7556	   20.9028	   21.3778	    9.3506	   11.0437	   11.1005	   17.3757	   20.0633	   10.1724	   15.1327	   11.5326	    9.4573	    9.5800	   10.0550	    9.8081	    9.8039	    9.2516	   11.0407	   11.3164
    7.9630	   13.1970	   10.8787	   10.0853	   10.1714	    3.5296	    5.0633	   13.2586	   -0.1908	   -0.1041	   -0.1516	   -0.5382	    1.9944	    2.0779	    2.2854	    2.1368	    1.1131	    1.3361	    1.2808	    1.3100	    7.1433	   12.2777	   13.9793	    9.4325	    1.0819	    0.9219	    0.7921	    0.8535	    7.4813	   10.8575	    0.6102	    9.8498
    4.8867	    0.1493	    6.2610	    1.3873	    8.9071	    4.3659	    7.9705	    7.3019	    2.7252	    4.2334	    9.8578	   10.0947	    3.6325	   16.5893	    7.2167	    3.4560	    0.7459	    0.6582	    0.7429	    0.8654	    1.1887	    1.0628	    0.4789	    1.0119	    0.6379	    0.6359	    0.7403	    0.6221	    4.1443	    4.2939	    4.2461	    4.1132
    1.8816	    1.6716	    2.0127	    1.8945	    3.0869	    4.2863	    8.6546	    8.7190	    3.7389	    2.4396	    2.8622	    2.1043	    3.7212	    5.4032	    2.8225	    2.8409	    1.8438	    2.0171	   -0.0664	    2.5033	    2.1080	    2.0678	    1.9486	    1.6757	    2.4549	    5.5686	    1.3403	    3.0822	    3.4993	    2.7627	    1.2047	    2.8330
    4.0923	    4.7052	    4.7576	    9.0797	   26.7538	   19.0867	   18.6830	   23.2557	    5.4144	    7.2708	    5.5309	    7.7948	    4.4838	    4.2343	    3.6397	    4.1745	    2.8579	    2.9235	    2.5500	    2.7626	    6.1556	    0.9718	   14.8437	   17.3058	    3.3145	    1.8868	    1.8055	    3.2912	    1.8707	    2.3914	    1.7677	    2.2268
    1.5169	    0.4281	    3.0352	   -0.5563	    5.7225	    2.6993	    2.3568	    1.3991	   -0.2928	    0.4194	    0.2097	   -0.4877	   -2.0332	   -1.6948	   -2.1274	   -2.7518	    9.7967	    8.3250	   10.1602	    2.8083	    0.4634	    2.8832	    0.6183	    3.0733	    1.0288	    1.4043	    8.1187	    2.1475	    3.1835	    2.9278	    1.6161	    1.7256
    0.5241	    0.2242	   -1.2913	    0.3964	    1.1731	    1.2996	    1.0176	    1.1098	   10.0987	    9.3618	   12.5203	    7.5301	    3.1675	   10.4760	    9.5351	    3.9171	    9.8094	    6.9715	   12.0302	   16.2529	    5.5016	    0.2868	    6.0241	    6.9776	   13.7510	    8.4197	   13.7932	    5.1876	   10.6687	   13.8338	   16.5046	   13.0196
